,Cy Young,Cy Young,Cy Young,Cy Young,Cy Young,Cy Young
,AL,AL,NL,NL,AL,NL
,PLAYER,STATS,PLAYER,STATS,Player Id,Player Id
Year,,,,,,
2020,Shane Bieber,"W-L: 8-1, ERA: 1.63, SO: 122",Trevor Bauer,"W-L: 5-4, ERA: 1.73, SO: 100",40912,32014
2019,Justin Verlander,"W-L: 21-6, ERA: 2.58, SO: 300",Jacob deGrom,"W-L: 11-8, ERA: 2.43, SO: 255",6341,32796
2018,Blake Snell,"W-L: 21-5, ERA: 1.89, SO: 221",Jacob deGrom,"W-L: 10-9, ERA: 1.70, SO: 269",33748,32796
2017,Corey Kluber,"W-L: 18-4, ERA: 2.25, SO: 265",Max Scherzer,"W-L: 16-6, ERA: 2.51, SO: 268",30981,28976
2016,Rick Porcello,"W-L: 22-4, ERA: 3.15, SO: 189",Max Scherzer,"W-L: 20-7, ERA: 2.96, SO: 284",29966,28976
2015,Dallas Keuchel,"W-L: 20-8, ERA: 2.48, SO: 216",Jake Arrieta,"W-L: 22-6, ERA: 1.77, SO: 236",31815,30145
2014,Corey Kluber,"W-L: 18-9, ERA: 2.44, SO: 269",Clayton Kershaw,"W-L: 21-3, ERA: 1.77, SO: 239",30981,28963
2013,Max Scherzer,"W-L: 21-3, ERA: 2.90, SO: 240",Clayton Kershaw,"W-L: 16-9, ERA: 1.83, SO: 232",28976,28963
2012,David Price,"W-L: 20-5, ERA: 2.56, SO: 205",R.A. Dickey,"W-L: 20-6, ERA: 2.73, SO: 230",28958,4695
2011,Justin Verlander,"W-L: 24-5, ERA: 2.40, SO: 250",Clayton Kershaw,"W-L: 21-5, ERA: 2.28, SO: 248",6341,28963
2010,Felix Hernandez,"W-L: 13-12, ERA: 2.27, SO: 232",Roy Halladay,"W-L: 21-10, ERA: 2.44, SO: 219",6194,3973
2009,Zack Greinke,"W-L: 16-8, ERA: 2.16, SO: 242",Tim Lincecum,"W-L: 15-7, ERA: 2.48, SV: 0",5883,28705
2008,Cliff Lee,"W-L: 22-3, ERA: 2.54, SO: 170",Tim Lincecum,"W-L: 18-5, ERA: 2.62, SV: 0",5353,28705
2007,CC Sabathia,"W-L: 19-7, ERA: 3.21, SO: 209",Jake Peavy,"W-L: 19-6, ERA: 2.54, SO: 240",4553,5019
2006,Johan Santana,"W-L: 19-6, ERA: 2.77, SO: 245",Brandon Webb,"W-L: 16-8, ERA: 3.10, SO: 178",4280,5455
2005,Bartolo Colon,"W-L: 21-8, ERA: 3.48, SO: 157",Chris Carpenter,"W-L: 21-5, ERA: 2.83, SO: 213",3602,3610
2004,Johan Santana,"W-L: 20-6, ERA: 2.61, SO: 265",Roger Clemens,"W-L: 18-4, ERA: 2.98, SO: 218",4280,1427
2003,Roy Halladay,"W-L: 22-7, ERA: 3.25, SO: 204",Eric Gagne,"W-L: 2-3, ERA: 1.20, SV: 55",3973,4181
2002,Barry Zito,"W-L: 23-5, ERA: 2.75, SO: 182",Randy Johnson,"W-L: 24-5, ERA: 2.32, SO: 334",4233,2131
2001,Roger Clemens,"W-L: 20-3, ERA: 3.51, SO: 213",Randy Johnson,"W-L: 21-6, ERA: 2.49, SO: 372",1427,2131
2000,Pedro Martinez,"W-L: 18-6, ERA: 1.74, SO: 284",Randy Johnson,"W-L: 19-7, ERA: 2.64, SO: 347",2717,2131
1999,Pedro Martinez,"W-L: 23-4, ERA: 2.07, SO: 313",Randy Johnson,"W-L: 17-9, ERA: 2.48, SO: 364",2717,2131
1998,Roger Clemens,"W-L: 20-6, ERA: 2.65, SO: 271",Tom Glavine,"W-L: 20-6, ERA: 2.47, SO: 157",1427,1975
1997,Roger Clemens,"W-L: 21-7, ERA: 2.05, SO: 292",Pedro Martinez,"W-L: 17-8, ERA: 1.90, SO: 305",1427,2717
1996,Pat Hentgen,"W-L: 20-10, ERA: 3.22, SO: 177",John Smoltz,"W-L: 24-8, ERA: 2.94, SO: 276",2586,2077
1995,Randy Johnson,"W-L: 18-2, ERA: 2.48, SO: 294",Greg Maddux,"W-L: 19-2, ERA: 1.63, SO: 181",2131,1800
1994,David Cone,"W-L: 16-5, ERA: 2.94, SO: 132",Greg Maddux,"W-L: 16-6, ERA: 1.56, SO: 156",1762,1800
1993,Jack McDowell,"W-L: 22-10, ERA: 3.37, SO: 158",Greg Maddux,"W-L: 20-10, ERA: 2.36, SO: 197",1954,1800
1992,Dennis Eckersley,"W-L: 7-1, ERA: 1.91, SV: 51",Greg Maddux,"W-L: 20-11, ERA: 2.18, SO: 199",923,1800
1991,Roger Clemens,"W-L: 18-10, ERA: 2.62, SO: 241",Tom Glavine,"W-L: 20-11, ERA: 2.55, SO: 192",1427,1975
1990,Bob Welch,"W-L: 27-6, ERA: 2.95, SV: 0",Doug Drabek,"W-L: 22-6, ERA: 2.76, SO: 131",665,1721
1989,Bret Saberhagen,"W-L: 23-6, ERA: 2.16, SO: 193",Mark W. Davis,"W-L: 4-3, ERA: 1.85, SV: 44",1405,81
1988,Frank Viola,"W-L: 24-7, ERA: 2.64, SO: 193",Orel Hershiser,"W-L: 23-8, ERA: 2.26, SO: 178",1234,1388
