,Most Valuable Player,Most Valuable Player,Most Valuable Player,Most Valuable Player,Most Valuable Player,Most Valuable Player
,AL,AL,NL,NL,AL,NL
,PLAYER,STATS,PLAYER,STATS,Player Id,Player Id
Year,,,,,,
2020.0,Jose Abreu,"BA: .317, HR: 19, RBI: 60",Freddie Freeman,"BA: .341, HR: 13, RBI: 53",33095,30193
2019.0,Mike Trout,"BA: .291, HR: 45, RBI: 104",Cody Bellinger,"BA: .305, HR: 47, RBI: 115",30836,33912
2018.0,Mookie Betts,"BA: .346, HR: 32, RBI: 80",Christian Yelich,"BA: .326, HR: 36, RBI: 110",33039,31283
2017.0,Jose Altuve,"BA: .346, HR: 24, RBI: 81",Giancarlo Stanton,"BA: .281, HR: 59, RBI: 132",31662,30583
2016.0,Mike Trout,"BA: .315, HR: 29, RBI: 100",Kris Bryant,"BA: .292, HR: 39, RBI: 102",30836,33172
2015.0,Josh Donaldson,"BA: .297, HR: 41, RBI: 123",Bryce Harper,"BA: .330, HR: 42, RBI: 99",29563,30951
2014.0,Mike Trout,"BA: .287, HR: 36, RBI: 111",Clayton Kershaw,"W-L: 21-3, ERA: 1.77, SO: 239",30836,28963
2013.0,Miguel Cabrera,"BA: .348, HR: 44, RBI: 137",Andrew McCutchen,"BA: .317, HR: 21, RBI: 84",5544,28701
2012.0,Miguel Cabrera,"BA: .330, HR: 44, RBI: 139",Buster Posey,"BA: .336, HR: 24, RBI: 103",5544,30112
2011.0,Justin Verlander,"W-L: 24-5, ERA: 2.40, SO: 250",Ryan Braun,"BA: .332, HR: 33, RBI: 111",6341,28721
2010.0,Josh Hamilton,"BA: .359, HR: 32, RBI: 100",Joey Votto,"BA: .324, HR: 37, RBI: 113",4652,28670
2009.0,Joe Mauer,"BA: .365, HR: 28, RBI: 96",Albert Pujols,"BA: .327, HR: 47, RBI: 135",5378,4574
2008.0,Dustin Pedroia,"BA: .326, HR: 17, RBI: 83",Albert Pujols,"BA: .357, HR: 37, RBI: 116",6393,4574
2007.0,Alex Rodriguez,"BA: .314, HR: 54, RBI: 156",Jimmy Rollins,"BA: .296, HR: 30, RBI: 94",3115,4258
2006.0,Justin Morneau,"BA: .321, HR: 34, RBI: 130",Ryan Howard,"BA: .313, HR: 58, RBI: 149",5379,6097
2005.0,Alex Rodriguez,"BA: .321, HR: 48, RBI: 130",Albert Pujols,"BA: .330, HR: 41, RBI: 117",3115,4574
2004.0,Vladimir Guerrero,"BA: .337, HR: 39, RBI: 126",Barry Bonds,"BA: .362, HR: 45, RBI: 101",3576,1785
2003.0,Alex Rodriguez,"BA: .298, HR: 47, RBI: 118",Barry Bonds,"BA: .341, HR: 45, RBI: 90",3115,1785
2002.0,Miguel Tejada,"BA: .308, HR: 34, RBI: 131",Barry Bonds,"BA: .370, HR: 46, RBI: 110",3727,1785
2001.0,Ichiro Suzuki,"BA: .350, HR: 8, RBI: 69",Barry Bonds,"BA: .328, HR: 73, RBI: 137",4570,1785
2000.0,Jason Giambi,"BA: .333, HR: 43, RBI: 137",Jeff Kent,"BA: .334, HR: 33, RBI: 125",3226,2668
1999.0,Iván Rodríguez,"BA: .332, HR: 35, RBI: 113",Chipper Jones,"BA: .319, HR: 45, RBI: 110",2523,3006
1998.0,Juan Gonzalez,"BA: .318, HR: 45, RBI: 157",Sammy Sosa,"BA: .308, HR: 66, RBI: 158",4860181,2187
1997.0,Ken Griffey Jr.,"BA: .304, HR: 56, RBI: 147",Larry Walker,"BA: .366, HR: 49, RBI: 130",2148,2026
1996.0,Juan Gonzalez,"BA: .314, HR: 47, RBI: 144",Ken Caminiti,"BA: .326, HR: 40, RBI: 130",4860181,1924
1995.0,Mo Vaughn,"BA: .300, HR: 39, RBI: 126",Barry Larkin,"BA: .319, HR: 15, RBI: 66",2528,1768
1994.0,Frank Thomas,"BA: .353, HR: 38, RBI: 101",Jeff Bagwell,"BA: .368, HR: 39, RBI: 116",2370,43259
1993.0,Frank Thomas,"BA: .317, HR: 41, RBI: 128",Barry Bonds,"BA: .336, HR: 46, RBI: 123",2370,1785
1992.0,Dennis Eckersley,"W-L: 7-1, ERA: 1.91, SV: 51",Barry Bonds,"BA: .311, HR: 34, RBI: 103",923,1785
1991.0,Cal Ripken,"BA: .323, HR: 34, RBI: 114",Terry Pendleton,"BA: .319, HR: 22, RBI: 86",789,1513
1990.0,Rickey Henderson,"BA: .325, HR: 28, RBI: 61",Barry Bonds,"BA: .301, HR: 33, RBI: 114",449,1785
1989.0,Robin Yount,"BA: .318, HR: 21, RBI: 103",Kevin Mitchell,"BA: .291, HR: 47, RBI: 125",339,1453
1988.0,Jose Canseco,"BA: .307, HR: 42, RBI: 124",Kirk Gibson,"BA: .290, HR: 25, RBI: 76",1626,443
1987.0,George A. Bell,"BA: .308, HR: 47, RBI: 134",Andre Dawson,"BA: .287, HR: 49, RBI: 137",765,83
1986.0,Roger Clemens,"W-L: 24-4, ERA: 2.48, SO: 238",Mike Schmidt,"BA: .290, HR: 37, RBI: 119",1427,256
1985.0,Don Mattingly,"BA: .324, HR: 35, RBI: 145",Willie McGee,"BA: .353, HR: 10, RBI: 82",1197,1163
