,Relief Man Award,Relief Man Award,Relief Man Award,Relief Man Award,Relief Man Award,Relief Man Award
,AL,AL,NL,NL,AL,NL
,PLAYER,STATS,PLAYER,STATS,Player Id,Player Id
Year,,,,,,
2020.0,Liam Hendriks,"W-L: 3-1, ERA: 1.78, SV: 14",Devin Williams,"W-L: 4-1, ERA: 0.33, SV: 0",31755,33224
2019.0,Aroldis Chapman,"W-L: 3-2, ERA: 2.21, SV: 37",Josh Hader,"W-L: 3-5, ERA: 2.62, SV: 37",30442,32760
2018.0,Edwin Diaz,"W-L: 0-4, ERA: 1.96, SV: 57",Josh Hader,"W-L: 6-1, ERA: 2.43, SV: 12",35394,32760
2017.0,Craig Kimbrel,"W-L: 5-0, ERA: 1.43, SV: 35",Kenley Jansen,"W-L: 5-0, ERA: 1.32, SV: 41",30653,29630
2016.0,Zack Britton,"W-L: 2-1, ERA: 0.54, SV: 47",Kenley Jansen,"W-L: 3-2, ERA: 1.83, SV: 47",31054,29630
2015.0,Andrew Miller,"W-L: 3-2, ERA: 2.04, SV: 36",Mark Melancon,"W-L: 3-2, ERA: 2.23, SV: 51",28563,29446
2014.0,Greg Holland,"W-L: 1-3, ERA: 1.44, SV: 46",Craig Kimbrel,"W-L: 0-3, ERA: 1.61, SV: 47",30945,30653
2012.0,Jim Johnson,"W-L: 2-1, ERA: 2.49, SV: 51",Craig Kimbrel,"W-L: 3-1, ERA: 1.01, SV: 42",28531,30653
2011.0,Jose Valverde,"W-L: 2-4, ERA: 2.24, SV: 49",John Axford,"W-L: 2-2, ERA: 1.95, SV: 46",5504,30378
2010.0,Rafael Soriano,"W-L: 3-2, ERA: 1.73, SV: 45",Heath Bell,"W-L: 6-1, ERA: 1.93, SV: 47",4600,6084
2009.0,Mariano Rivera,"W-L: 3-3, ERA: 1.76, SV: 44",Heath Bell,"W-L: 6-4, ERA: 2.71, SV: 42",3240,6084
2009.0,Joe Nathan,"W-L: 2-2, ERA: 2.10, SV: 47",,,4044,
2008.0,Francisco Rodriguez,"W-L: 2-3, ERA: 2.24, SV: 62",Brad Lidge,"W-L: 2-0, ERA: 1.95, SV: 41",5357,5102
2007.0,J.J. Putz,"W-L: 6-1, ERA: 1.38, SV: 40",Jose Valverde,"W-L: 1-4, ERA: 2.66, SV: 47",5640,5504
2006.0,Francisco Rodriguez,"W-L: 2-3, ERA: 1.73, SV: 47",Trevor Hoffman,"W-L: 0-2, ERA: 2.14, SV: 46",5357,2817
2005.0,Mariano Rivera,"W-L: 7-4, ERA: 1.38, SV: 43",Chad Cordero,"W-L: 2-4, ERA: 1.82, SV: 47",3240,5752
2004.0,Mariano Rivera,"W-L: 4-2, ERA: 1.94, SV: 53",Eric Gagne,"W-L: 7-3, ERA: 2.19, SV: 45",3240,4181
2003.0,Keith Foulke,"W-L: 9-1, ERA: 2.08, SV: 43",Eric Gagne,"W-L: 2-3, ERA: 1.20, SV: 55",3656,4181
2002.0,Billy Koch,"W-L: 11-4, ERA: 3.27, SV: 44",John Smoltz,"W-L: 3-2, ERA: 3.25, SO: 85",4057,2077
2001.0,Mariano Rivera,"W-L: 4-6, ERA: 2.34, SV: 50",Armando Benitez,"W-L: 6-4, ERA: 3.77, SV: 43",3240,3130
2000.0,Todd Jones,"W-L: 2-4, ERA: 3.52, SV: 42",Antonio Alfonseca,"W-L: 5-6, ERA: 4.24, SV: 45",2924,3674
1999.0,Mariano Rivera,"W-L: 4-3, ERA: 1.83, SV: 45",Billy Wagner,"W-L: 4-1, ERA: 1.57, SV: 39",3240,3375
1998.0,Tom Gordon,"W-L: 7-4, ERA: 2.72, SV: 46",Trevor Hoffman,"W-L: 4-2, ERA: 1.48, SV: 53",2122,2817
1997.0,Randy Myers,"W-L: 2-3, ERA: 1.51, SV: 45",Jeff Shaw,"W-L: 4-2, ERA: 2.38, SV: 42",1674,2316
1996.0,John Wetteland,"W-L: 2-3, ERA: 2.83, SV: 43",Jeff Brantley,"W-L: 1-2, ERA: 2.41, SV: 44",2012,2085
1995.0,Jose Mesa,"W-L: 3-0, ERA: 1.13, SV: 46",Tom Henke,"W-L: 1-1, ERA: 1.82, SV: 36",1996,1224
1994.0,Lee Smith,"W-L: 1-4, ERA: 3.29, SV: 33",Rod Beck,"W-L: 2-4, ERA: 2.77, SV: 28",746,2484
1993.0,Jeff Montgomery,"W-L: 7-5, ERA: 2.27, SV: 45",Randy Myers,"W-L: 2-4, ERA: 3.11, SV: 53",1933,1674
1992.0,Dennis Eckersley,"W-L: 7-1, ERA: 1.91, SV: 51",Lee Smith,"W-L: 4-9, ERA: 3.12, SV: 43",923,746
1991.0,Bryan Harvey,"W-L: 2-4, ERA: 1.60, SO: 101",Lee Smith,"W-L: 6-3, ERA: 2.34, SV: 47",1894,746
1990.0,Bobby Thigpen,"W-L: 4-6, ERA: 1.83, SV: 57",John Franco,"BA: .000, HR: 0, RBI: 0",1735,1414
1989.0,Jeff Russell,"W-L: 6-4, ERA: 1.98, SV: 38",Mark W. Davis,"W-L: 4-3, ERA: 1.85, SV: 44",1329,81
