Game,Team,Stat,Data
360403123,PIT,CS," Cervelli (1, Home by Maness/Molina)"
360403123,PIT,Picked Off, Cervelli (3rd base by Molina)
360403130,TB,CS," Kiermaier (1, 3rd base by Stroman/Martin)"
360403107,NYM,CS," Conforto (1, 2nd base by Vólquez/Pérez)"
360403107,KC,SB," Escobar (1, 2nd base off Harvey/d'Arnaud)"
360404108,SF,SB," Pagán (1, 2nd base off Peralta/Lucroy)"
360404101,BAL,SB," Trumbo (1, 2nd base off E. Santana/Suzuki)"
360404113,TEX,SB," Odor (1, 2nd base off Hernández/Iannetta)"
360404115,WSH,SB," Harper (1, 2nd base off Vizcaíno/Pierzynski)"
360404115,WSH,CS," Rendon (1, 2nd base by Teherán)"
360404115,WSH,Picked Off, Rendon (1st base by Teherán)
360404130,TB,SB," Jennings (1, 2nd base off Storen/Thole)"
360404129,COL,SB," Parra (1, 3rd base off Greinke/Castillo)"
360404103,CHC,Picked Off, Zobrist (1st base by Pérez)
360404111,CHW,CS," Eaton (1, 2nd base by Hill); Lawrie (1, 2nd base by Doolittle)"
360404111,CHW,Picked Off, Eaton (1st base by Hill); Lawrie (1st base by Doolittle)
360404111,OAK,Picked Off, Burns (1st base by Navarro)
360405110,HOU,SB," Correa 2 (2, 2nd base off Tanaka/McCann, 2nd base off Betances/McCann); Altuve (1, 2nd base off Betances/McCann)"
360405110,NYY,SB," Rodriguez (1, 2nd base off Keuchel/Castro)"
360405105,BOS,CS," Swihart (1, 2nd base by Chamberlain/Gomes)"
360405107,NYM,SB," Wright 2 (2, 2nd base off Young/Pérez 2)"
360405107,KC,SB," Cain (1, 2nd base off Syndergaard/d'Arnaud)"
360405128,DET,CS," Kinsler (1, 2nd base by Breslow)"
360405128,DET,Picked Off, Kinsler (1st base by Breslow)
360405130,TOR,SB," Pillar (1, 2nd base off Odorizzi/Conger); Smoak (1, 2nd base off Eveland/Conger)"
360405130,TB,CS," Miller (1, 2nd base by Sanchez/Martin)"
360405113,TEX,SB," Choo (1, 3rd base off Iwakuma/Iannetta)"
360405113,TEX,CS," Andrus (1, 2nd base by Iwakuma/Iannetta)"
360405108,SF,SB," Span (1, 2nd base off Blazek/Lucroy)"
360405108,SF,CS," Belt (1, 2nd base by Jeffress/Lucroy)"
360405125,LAD,SB," Pederson (1, 2nd base off Rodney/Norris)"
360406130,TB,SB," Kiermaier (1, 2nd base off Floyd/Martin)"
360406108,SF,CS," Belt (2, 2nd base by Jungmann/Lucroy)"
360406113,SEA,CS," Martín (1, 2nd base by Lewis/Holaday); Sardiñas (1, 2nd base by Lewis/Holaday)"
360406113,TEX,CS," DeShields (1, 2nd base by Benoit/Clevenger)"
360406129,COL,CS," Barnes 2 (2, 2nd base by Corbin/Herrmann, 2nd base by Corbin/Herrmann)"
360406129,COL,Picked Off, Barnes (1st base by Corbin)
360406129,ARI,SB," Segura (1, 2nd base off Castro/Hundley)"
360406128,MIA,CS," Gordon (1, 2nd base by Sánchez/Saltalamacchia)"
360406105,BOS,SB," H. Ramírez (1, 2nd base off McAllister/Gomes)"
360406105,CLE,SB," Davis (1, 2nd base off Barnes/Swihart)"
360406105,CLE,CS," Davis (1, 3rd base by Barnes/Swihart)"
360406117,PHI,CS," Ruf (1, 2nd base by Wood/Mesoraco)"
360406110,NYY,SB," Headley (1, 2nd base off Feliz/Castro); Ellsbury (1, 2nd base off Feliz/Castro)"
360406123,PIT,CS," Polanco (1, 2nd base by Leake/Molina)"
360406115,ATL,SB," Stubbs (1, 2nd base off Papelbon/Ramos)"
360406115,ATL,CS," Inciarte (1, 2nd base by Strasburg/Ramos)"
360407117,CIN,SB," De Jesús (1, 2nd base off Morton/Ruiz)"
360407117,CIN,Picked Off, Suárez (1st base by Hinojosa)
360407111,CHW,SB," Jackson (1, 2nd base off Hendriks/Vogt)"
360407110,NYY,SB," Gregorius (1, 2nd base off Sipp/Kratz)"
360407120,MIA,SB," Realmuto (1, 2nd base off Roark/Ramos)"
