"bpid","mlbid","Name","Age","Team","WARP","DRC+","+/-","G","PA","AB","R","HR","RBI","SB","AVG","OBP","SLG","OPS","ISO","K%","BB%","K/BB","Whiff%"
"107182","665742","Juan Soto",22,"WSH","7.2","165","11",151,654,502,111,29,95,9,".313",".465",".534",".999",".221","14.2","22.2","0.6","20.0"
"107184","665489","Vladimir Guerrero Jr.",22,"TOR","6.3","160","12",161,698,604,123,48,111,4,".311",".401",".601","1.002",".290","15.8","12.3","1.3","27.8"
"70327","543760","Marcus Semien",30,"TOR","5.6","126","12",162,724,652,115,45,102,15,".265",".334",".538",".873",".273","20.2","9.1","2.2","21.5"
"66018","547180","Bryce Harper",28,"PHI","5.5","142","13",141,599,488,101,35,84,13,".309",".429",".615","1.044",".305","22.4","16.7","1.3","32.1"
"70217","608070","José Ramírez",28,"CLE","5.3","136","12",152,636,552,111,36,103,27,".266",".355",".538",".893",".272","13.7","11.3","1.2","15.0"
"100668","621566","Matt Olson",27,"OAK","5.2","137","13",156,673,565,101,39,111,4,".271",".371",".540",".911",".269","16.8","13.1","1.3","23.0"
"68603","592450","Aaron Judge",29,"NYY","5.1","135","12",148,633,550,89,39,98,6,".287",".373",".544",".916",".256","25.0","11.8","2.1","29.2"
"55877","514888","Jose Altuve",31,"HOU","5.1","124","11",146,678,601,117,31,83,5,".278",".350",".489",".839",".211","13.4","9.7","1.4","16.1"
"111306","660271","Shohei Ohtani",26,"LAA","5.0","132","15",155,639,537,103,46,100,26,".257",".372",".592",".965",".335","29.6","15.0","2.0","35.2"
"108651","665487","Fernando Tatis Jr.",22,"SD","5.0","142","15",130,546,478,99,42,97,25,".282",".364",".611",".975",".328","28.0","11.4","2.5","34.8"
"67049","592518","Manny Machado",28,"SD","4.9","124","12",153,640,564,92,28,106,12,".278",".347",".489",".836",".211","15.9","9.8","1.6","23.1"
"56289","518692","Freddie Freeman",31,"ATL","4.8","133","10",159,695,600,120,31,83,8,".300",".393",".503",".896",".203","15.4","12.2","1.3","21.0"
"109040","668804","Bryan Reynolds",26,"PIT","4.7","126","11",159,646,559,93,24,90,5,".302",".390",".522",".912",".220","18.4","11.6","1.6","23.7"
"67248","593428","Xander Bogaerts",28,"BOS","4.6","126","12",144,603,529,90,23,79,5,".295",".370",".493",".863",".198","18.7","10.3","1.8","22.0"
"70917","607208","Trea Turner",28,,"4.6","124","9",148,646,595,107,28,77,32,".328",".375",".536",".911",".208","17.0","6.3","2.7","23.0"
"59660","571771","Enrique Hernández",29,"BOS","4.5","110","11",134,585,508,84,20,60,1,".250",".337",".449",".786",".199","18.8","10.4","1.8","23.6"
"67568","593871","Jorge Polanco",27,"MIN","4.4","120","12",152,644,588,97,33,98,11,".269",".323",".503",".826",".235","18.3","7.0","2.6","19.8"
"59586","571448","Nolan Arenado",30,"STL","4.4","119","11",157,653,593,81,34,105,2,".255",".312",".494",".806",".239","14.7","7.7","1.9","18.5"
"100502","621043","Carlos Correa",26,"HOU","4.4","125","11",148,640,555,104,26,92,"0",".279",".366",".485",".850",".205","18.1","11.7","1.6","20.9"
"105439","656775","Cedric Mullins",26,"BAL","4.3","117","11",159,675,602,91,30,59,30,".291",".360",".518",".878",".228","18.5","8.7","2.1","21.0"
"104042","646240","Rafael Devers",24,"BOS","4.3","124","12",156,664,591,101,38,113,5,".279",".352",".538",".890",".259","21.5","9.3","2.3","27.8"
"107284","664040","Brandon Lowe",26,"TB","4.3","120","14",149,615,535,97,39,99,7,".247",".340",".523",".863",".277","27.2","11.1","2.5","32.7"
"108612","669257","Will Smith",26,"LAD","4.2","124","13",130,501,414,71,25,76,3,".258",".365",".495",".860",".237","20.2","11.6","1.7","21.2"
"106744","663586","Austin Riley",24,"ATL","4.2","123","12",160,662,590,91,33,107,"0",".303",".367",".531",".898",".227","25.4","7.9","3.2","28.1"
"107491","666182","Bo Bichette",23,"TOR","4.1","117","11",159,690,640,121,29,102,25,".298",".343",".484",".828",".186","19.9","5.8","3.4","22.4"
"66955","592206","Nick Castellanos",29,"CIN","4.0","127","13",138,585,531,95,34,100,3,".309",".362",".576",".939",".267","20.7","7.0","3.0","30.7"
