last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Harper, Bryce,547180,2021,599,360,.309,.297,0.012,.615,.598,0.017,.431,.427,0.004
Soto, Juan,665742,2021,654,414,.313,.300,0.013,.534,.533,0.001,.420,.426,-0.006
Acuña Jr., Ronald,660670,2021,360,217,.283,.291,-0.008,.596,.593,0.003,.412,.425,-0.013
Guerrero Jr., Vladimir,665489,2021,698,496,.311,.303,0.008,.601,.580,0.021,.419,.413,0.006
Judge, Aaron,592450,2021,633,397,.287,.301,-0.014,.544,.578,-0.034,.387,.413,-0.026
Grandal, Yasmani,518735,2021,375,203,.240,.255,-0.015,.520,.497,0.023,.402,.412,-0.010
Freeman, Freddie,518692,2021,695,495,.300,.313,-0.013,.503,.569,-0.066,.379,.411,-0.032
Muncy, Max,571970,2021,592,378,.249,.270,-0.021,.527,.574,-0.047,.379,.406,-0.027
Ohtani, Shohei,660271,2021,639,350,.257,.264,-0.007,.592,.597,-0.005,.393,.405,-0.012
Votto, Joey,458015,2021,533,325,.266,.271,-0.005,.563,.582,-0.019,.391,.404,-0.013
Tatis Jr., Fernando,665487,2021,546,329,.282,.276,0.006,.611,.604,0.007,.403,.401,0.002
Buxton, Byron,621439,2021,254,173,.306,.292,0.014,.647,.594,0.053,.419,.398,0.021
Schwarber, Kyle,656941,2021,471,274,.266,.262,0.004,.554,.551,0.003,.392,.396,-0.004
Tucker, Kyle,663656,2021,567,421,.294,.303,-0.009,.557,.566,-0.009,.381,.395,-0.014
Goldschmidt, Paul,502671,2021,679,472,.294,.290,0.004,.514,.564,-0.050,.373,.394,-0.021
Seager, Corey,608369,2021,409,290,.306,.292,0.014,.521,.523,-0.002,.389,.392,-0.003
O'Neill, Tyler,641933,2021,537,318,.286,.274,0.012,.560,.570,-0.010,.384,.388,-0.004
Winker, Jesse,608385,2021,485,348,.305,.292,0.013,.556,.515,0.041,.403,.387,0.016
Devers, Rafael,646240,2021,664,452,.279,.286,-0.007,.538,.553,-0.015,.373,.386,-0.013
Donaldson, Josh,518626,2021,543,351,.247,.266,-0.019,.475,.533,-0.058,.353,.385,-0.032
Alvarez, Yordan,670541,2021,598,395,.277,.276,0.001,.531,.557,-0.026,.370,.384,-0.014
Reynolds, Bryan,668804,2021,646,444,.302,.289,0.013,.522,.510,0.012,.385,.382,0.003
Garver, Mitch,641598,2021,243,138,.256,.252,0.004,.517,.536,-0.019,.372,.382,-0.010
Robert, Luis,673357,2021,296,216,.338,.297,0.041,.567,.533,0.034,.399,.378,0.021
Olson, Matt,621566,2021,673,463,.271,.261,0.010,.540,.498,0.042,.379,.377,0.002
