last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Sheffield, Justus,656954,2021,385,274,.316,.297,0.019,.515,.519,-0.004,.390,.392,-0.002,6.83,7.08,-0.25
Watkins, Spenser,657093,2021,255,199,.322,.299,0.023,.596,.547,0.049,.405,.388,0.017,8.07,6.91,1.16
González, Chi Chi,592346,2021,448,358,.311,.307,0.004,.538,.528,0.010,.381,.380,0.001,6.46,6.56,-0.10
Plutko, Adam,592644,2021,255,181,.295,.278,0.017,.614,.541,0.073,.408,.380,0.028,6.71,6.56,0.15
Keller, Brad,641745,2021,613,422,.297,.288,0.009,.457,.498,-0.041,.358,.378,-0.020,5.39,6.48,-1.09
Kremer, Dean,665152,2021,245,172,.292,.275,0.017,.588,.533,0.055,.397,.378,0.019,7.55,6.48,1.07
Zimmermann, Bruce,669145,2021,285,205,.291,.292,-0.001,.492,.524,-0.032,.359,.376,-0.017,5.04,6.40,-1.36
Davies, Zach,605200,2021,668,473,.281,.293,-0.012,.485,.481,0.004,.365,.376,-0.011,5.78,6.40,-0.62
Lynch, Daniel,663738,2021,311,221,.295,.283,0.012,.465,.483,-0.018,.360,.374,-0.014,5.69,6.32,-0.63
Shoemaker, Matt,533167,2021,284,213,.297,.281,0.016,.537,.517,0.020,.378,.373,0.005,8.06,6.28,1.78
Voth, Austin,608723,2021,248,160,.266,.284,-0.018,.467,.495,-0.028,.345,.370,-0.025,5.34,6.16,-0.82
Arrieta, Jake,453562,2021,469,336,.320,.282,0.038,.563,.498,0.065,.400,.370,0.030,7.39,6.16,1.23
Keuchel, Dallas,572971,2021,720,558,.290,.298,-0.008,.472,.482,-0.010,.355,.368,-0.013,5.28,6.08,-0.80
Young, Alex,622065,2021,246,173,.307,.282,0.025,.538,.477,0.061,.389,.366,0.023,6.58,6.00,0.58
Santana, Ervin,429722,2021,277,201,.259,.273,-0.014,.446,.520,-0.074,.328,.364,-0.036,4.68,5.92,-1.24
Martínez, Carlos,593372,2021,363,259,.246,.274,-0.028,.390,.458,-0.068,.321,.363,-0.042,6.23,5.88,0.35
Barría, Jaime,642545,2021,250,194,.307,.302,0.005,.474,.469,0.005,.361,.362,-0.001,4.61,5.85,-1.24
Oviedo, Johan,670912,2021,288,194,.251,.269,-0.018,.412,.447,-0.035,.339,.362,-0.023,4.91,5.85,-0.94
Peterson, David,656849,2021,287,184,.255,.274,-0.019,.454,.469,-0.015,.345,.362,-0.017,5.54,5.85,-0.31
Ureña, José,570632,2021,456,343,.292,.282,0.010,.475,.466,0.009,.360,.361,-0.001,5.81,5.81,0.00
Anderson, Brett,474463,2021,409,321,.276,.294,-0.018,.439,.464,-0.025,.328,.359,-0.031,4.22,5.73,-1.51
Keller, Mitch,656605,2021,470,322,.322,.285,0.037,.477,.445,0.032,.379,.358,0.021,6.17,5.70,0.47
Wilson, Bryse,669060,2021,322,253,.290,.284,0.006,.505,.493,0.012,.353,.356,-0.003,5.35,5.62,-0.27
Corbin, Patrick,571578,2021,751,544,.286,.280,0.006,.510,.486,0.024,.361,.356,0.005,5.82,5.62,0.20
Jax, Griffin,643377,2021,360,261,.256,.249,0.007,.538,.517,0.021,.358,.356,0.002,6.37,5.62,0.75
Holland, Greg,518813,2021,243,163,.229,.254,-0.025,.407,.481,-0.074,.310,.355,-0.045,4.85,5.59,-0.74
Hentges, Sam,656529,2021,318,218,.318,.267,0.051,.491,.469,0.022,.377,.355,0.022,6.68,5.59,1.09
Wacha, Michael,608379,2021,528,372,.270,.281,-0.011,.467,.492,-0.025,.334,.354,-0.020,5.05,5.55,-0.50
Happ, J.A.,457918,2021,671,498,.288,.272,0.016,.511,.494,0.017,.361,.354,0.007,5.79,5.55,0.24
Skubal, Tarik,669373,2021,634,417,.245,.263,-0.018,.476,.497,-0.021,.332,.353,-0.021,4.34,5.51,-1.17
Widener, Taylor,642203,2021,319,202,.241,.246,-0.005,.456,.469,-0.013,.343,.353,-0.010,4.35,5.51,-1.16
Pérez, Martín,527048,2021,509,367,.296,.278,0.018,.481,.461,0.020,.358,.353,0.005,4.74,5.51,-0.77
Richards, Garrett,572070,2021,617,437,.289,.280,0.009,.468,.452,0.016,.356,.352,0.004,4.87,5.48,-0.61
Manning, Matt,666159,2021,385,291,.279,.283,-0.004,.445,.457,-0.012,.339,.352,-0.013,5.80,5.48,0.32
