Game,Team,Stat,Data
360403123,STL,DP," 2 (Carpenter-Wong-Adams, Grichuk-Wong)"
360403123,STL,Assists, Grichuk (Polanco at 2nd base)
360403123,PIT,E," Cervelli (1, throw)"
360403123,PIT,DP, 1 (Mercer-Jaso)
360403130,TOR,E," Goins (1, ground ball); Bautista (1, line drive)"
360403130,TB,E," Morrison (1, line drive)"
360403107,NYM,E," Céspedes (1, fly ball)"
360403107,NYM,DP," 3 (Walker-Cabrera-Duda 2, Duda-Cabrera-Harvey)"
360403107,NYM,PB, d'Arnaud
360404108,SF,DP, 1 (Crawford-Panik-Belt)
360404108,SF,Assists, Pagán (Gennett at Home)
360404108,MIL,E," Gennett (1, ground ball)"
360404108,MIL,DP, 1 (Hill-Gennett-Carter)
360404108,MIL,Assists, Braun (Duffy at 2nd base)
360404113,SEA,E," Seager (1, ground ball); Marte (1, ground ball)"
360404113,TEX,E," Andrus (1, throw)"
360404113,TEX,DP, 1 (Odor-Moreland)
360404115,WSH,DP," 2 (Rendon-Murphy-Zimmerman, Espinosa-Zimmerman)"
360404115,ATL,E," Aybar (1, throw); Beckham (1, throw)"
360404115,ATL,DP, 1 (Aybar-Peterson-Freeman)
360404117,PHI,E," Howard (1, catch); Herrera (1, bobble)"
360404117,PHI,DP, 1 (Galvis-C. Hernández-Howard)
360404125,SD,E," Kemp (1, bobble); Spangenberg (1, throw)"
360404125,SD,Assists, Upton Jr. (Utley at Home)
360404130,TOR,E," Thole (1, throw)"
360404129,COL,DP, 1 (Arenado)
360404103,CHC,DP, 1 (Zobrist-Rizzo)
360404103,LAA,E," Escobar (1, ground ball)"
360404103,LAA,DP, 1 (Giavotella-Simmons-Cron)
360404111,CHW,E," Jackson (1, bobble)"
360404111,OAK,E," Hill (1, throw); Canha (1, catch)"
360405110,HOU,DP," 2 (Altuve-González, Valbuena-Altuve-González)"
360405110,NYY,E," Betances (1, throw)"
360405105,CLE,E," Uribe (1, throw)"
360405105,CLE,DP, 1 (Uribe-Napoli)
360405123,STL,E," Díaz (1, ground ball)"
360405123,STL,DP, 1 (Díaz-Gyorko-Moss)
360405123,STL,Assists, Piscotty (McCutchen at Home)
360405123,PIT,E," Marte (1, bobble); Mercer (1, throw)"
360405123,PIT,DP," 2 (Freese-Mercer-Jaso, Freese-Harrison-Rodriguez)"
360405128,DET,E," J.D. Martinez (1, bobble)"
360405128,MIA,E," Hechavarría 2 (2, throw 2)"
360405128,MIA,DP, 1 (Prado-Gordon-Bour)
360405130,TB,E," Odorizzi (1, throw)"
360405130,TB,DP, 1 (Longoria-Forsythe-Pearce)
360405113,SEA,E," Marte (2, ground ball)"
360405113,SEA,DP, 1 (Canó-Marte-Sardiñas)
360405113,TEX,E," Choo (1, bobble)"
360405113,TEX,DP," 2 (Odor-Andrus-Moreland, Moreland-Andrus-Moreland)"
360405108,SF,DP, 1 (Crawford-Belt)
360405129,ARI,DP, 1 (Goldschmidt-Ahmed-Goldschmidt)
360405103,CHC,E," Bryant (1, ground ball)"
360405111,OAK,DP, 1 (Lowrie-Semien-Alonso)
360405125,SD,E," Ramírez (1, throw)"
360405125,SD,DP, 1 (Ramírez-Spangenberg-Myers)
360406130,TOR,DP, 1 (Tulowitzki-Barney-Colabello)
360406130,TB,DP, 1 (Forsythe-Beckham-Pearce)
360406108,SF,DP," 2 (Crawford-Panik-Belt, Crawford-Belt)"
360406108,SF,PB, Posey
360406108,MIL,E," Lucroy (1, catch); Santana (1, bobble)"
360406108,MIL,DP," 2 (Hill-Lucroy, Hill-Villar-Gennett)"
360406113,TEX,DP," 2 (Odor-Alberto-Rua, Alberto-Odor-Rua)"
360406129,COL,E," Chatwood (1, throw)"
360406129,ARI,DP, 1 (Lamb-Segura-Goldschmidt)
360406128,DET,DP, 1 (Iglesias-Kinsler-Cabrera)
360406128,MIA,E," Realmuto (1, throw)"
360406105,BOS,E," Holt (1, ground ball)"
360406105,BOS,DP, 1 (Bogaerts-Pedroia-H. Ramírez)
360406101,MIN,DP, 1 (Escobar-Dozier-Mauer)
360406110,HOU,E," Castro (1, catcher's interference)"
360406110,NYY,DP, 1 (Headley-Teixeira)
360406123,STL,E," Leake (1, throw); Wong 2 (2, throw, ground ball)"
360406123,STL,DP," 2 (Carpenter-Wong-Moss, Bowman-Wong-Adams)"
360406115,WSH,DP, 1 (Murphy-Espinosa-Zimmerman)
360406115,WSH,Assists," Taylor (García at 2nd base, Pierzynski at 2nd base)"
360406115,ATL,E," Freeman (1, throw)"
360406115,ATL,DP, 1 (Inciarte-Freeman)
360406115,ATL,Assists, Inciarte (Harper at 1st base)
360406125,LAD,E," Maeda (1, throw)"
360406125,SD,DP, 1 (Spangenberg-Ramírez-Myers)
360406111,OAK,DP," 2 (Lowrie-Semien, Semien-Alonso)"
360407117,PHI,E," Herrera (2, bobble)"
360407117,CIN,E," Bruce (1, bobble)"
360407117,CIN,DP, 1 (Votto-De Jesús)
360407111,CHW,E," Frazier (1, throw)"
360407111,OAK,E," Semien (1, ground ball); Valencia (1, ground ball)"
360407110,HOU,E," Valbuena (1, ground ball)"
360407110,HOU,Assists, Rasmus (Castro at 2nd base)
360407120,MIA,E," Phelps (1, throw)"
360407120,WSH,E," Ramos (1, throw)"
360407120,WSH,DP, 1 (Roark-Espinosa-Zimmerman)
360407126,LAD,E," Van Slyke (1, throw)"
360407126,LAD,DP, 1 (Utley-Seager-Gonzalez)
360407126,SF,DP, 1 (Duffy-Panik-Belt)
360407101,MIN,DP, 1 (Mauer)
360407101,BAL,E," Davis (1, ground ball)"
360407101,BAL,DP, 1 (Jiménez-Schoop-Davis)
360407129,CHC,DP, 1 (La Stella-Zobrist-Rizzo)
360407129,ARI,E," Castillo (1, throw); Lamb (1, throw)"
360407103,TEX,DP, 1 (Beltré-Odor-Moreland)
360407103,LAA,E," Escobar (2, throw)"
360408106,NYY,DP, 1 (Castro-Ackley)
360408106,DET,DP, 1 (Iglesias-Kinsler-Cabrera)
360408121,PHI,E," Galvis (1, catch)"
360408121,NYM,E," Wright (1, throw)"
360408121,NYM,DP, 1 (Wright-Duda-Walker)
360408104,CLE,DP," 2 (Lindor-Kipnis-Napoli, Kipnis-Lindor-Napoli)"
360408104,CHW,E," Avila (1, throw)"
360408104,CHW,DP, 1 (Putnam-Rollins-Abreu)
360408127,SD,DP," 2 (Myers-Ramírez-Myers-Spangenberg, Spangenberg-Ramírez-Myers)"
360408127,COL,DP, 1 (Story-LeMahieu-Reynolds)
360408101,TB,DP, 2 (Forsythe-Miller-Morrison 2)
360408101,BAL,DP," 2 (Davis-Flaherty-Davis, Schoop-Machado-Davis)"
360408114,TOR,E," Goins (2, ground ball)"
360408114,TOR,Assists, Pillar (H. Ramírez at 2nd base)
360408117,PIT,E," Cervelli (2, throw); Freese 2 (2, ground ball 2)"
360408117,PIT,DP," 2 (Freese-Jaso, Freese-Harrison-Jaso)"
360408117,CIN,E," Cozart (1, throw); Suárez 2 (2, ground ball 2)"
360408117,CIN,DP, 1 (Cotham-Cozart-Votto)
360408115,STL,E," Gyorko 2 (2, throw, ground ball)"
360408115,STL,DP, 1 (Carpenter-Wong-Adams)
360408115,ATL,Assists, Markakis (Carpenter at 2nd base)
360408108,MIL,DP, 1 (Gennett-Villar-Carter)
360408107,MIN,E," Dozier (1, throw)"
360408107,KC,Assists, Gordon (Suzuki at 3rd base)
360408129,CHC,E," Hammel (1, throw)"
360408129,CHC,DP, 1 (Russell-Zobrist-Rizzo)
360408129,CHC,Assists, Fowler (Goldschmidt at 2nd base)
360408129,ARI,DP," 2 (Lamb-Segura-Goldschmidt, Goldschmidt-Castillo-Lamb-Castillo-Ahmed-Peralta-Ahmed-Peralta-Ahmed-Peralta)"
360408103,TEX,DP, 1 (Beltré-Odor-Moreland)
360408103,LAA,E," Pérez (1, throw)"
360408112,OAK,E," Lowrie 2 (2, ground ball 2)"
360408112,OAK,DP, 1 (Semien-Lowrie-Alonso)
360408112,SEA,E," Seager (2, ground ball); Canó (1, throw)"
360408112,SEA,DP, 2 (Canó-Marte-Lee 2)
360408126,LAD,DP, 1 (Turner-Seager-Gonzalez)
360408126,SF,DP, 1 (Belt-Crawford-Cain)
360409114,BOS,E," Sandoval (1, throw)"
360409114,TOR,E," Dickey (1, throw)"
360409114,TOR,PB, Thole 2
360409106,NYY,E," Gardner (1, bobble)"
360409106,NYY,DP, 1 (Sabathia-Castro-Teixeira)
360409106,DET,E," J.D. Martinez (2, line drive)"
360409106,DET,DP, 1 (Cabrera-Iglesias-Kensing)
360409117,PIT,E," Harrison (1, ground ball)"
360409117,PIT,DP, 1 (Harrison-Mercer-Jaso)
360409117,PIT,Assists, Marte (Votto at 3rd base)
360409117,CIN,E," Hamilton (1, throw)"
360409117,CIN,DP," 3 (Suárez-Votto, De Jesús-Votto, Votto-De Jesús)"
360409104,CLE,E," Uribe (2, ground ball); Davis (1, bobble); Anderson (1, throw)"
360409104,CHW,E," Lawrie (1, throw)"
360409104,CHW,DP, 1 (Abreu)
360409126,SF,E," Duffy (1, ground ball)"
360409108,HOU,Assists, Springer (Santana at 2nd base)
360409108,MIL,E," Lucroy (2, throw); Rivera (1, throw)"
360409108,MIL,DP," 2 (Gennett-Villar-Carter, Villar-Carter)"
360409115,STL,E," Díaz (2, throw); Carpenter (1, ground ball); Adams (1, ground ball)"
360409115,STL,DP," 2 (Díaz-Wong-Moss, Martínez-Díaz-Moss)"
360409115,ATL,E," Markakis (1, fly ball); Aybar (2, ground ball); García (1, ground ball)"
360409115,ATL,DP, 1 (Peterson-Aybar-Freeman)
